cyrillic,meaning
ажӣɣ̌ӡ,"мокнуть, намокнуть, размокать, намокать"
нижӣɣ̌ӡ,"мокнуть, намокнуть, размокать, намокать"
амбисч,"обваливаться, рушиться"
андӣц,"вставать, подниматься"
индӣц,"вставать, подниматься"
андӣц,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индӣц,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андӣц,"уходить, покидать"
индӣц,"уходить, покидать"
андӣц,"отставать, отделяться, отходить, отлипать"
индӣц,"отставать, отделяться, отходить, отлипать"
андӣц,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индӣц,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андӣц,"вырастать, подрастать (напр., о детях)"
индӣц,"вырастать, подрастать (напр., о детях)"
андӣц,"расти, вырастать; прорастать, появляться (о всходах растений)"
индӣц,"расти, вырастать; прорастать, появляться (о всходах растений)"
андӣц,"продвигаться по службе, идти в гору, делать карьеру"
индӣц,"продвигаться по службе, идти в гору, делать карьеру"
андӣц,"начинаться, возникать"
индӣц,"начинаться, возникать"
анҷӣвӡ,"начинаться, идти (об осадках)"
инҷӣвӡ,"начинаться, идти (об осадках)"
арих̌ц,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррих̌ц,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арих̌ц,"бить ключом, струей; брызгать"
аррих̌ц,"бить ключом, струей; брызгать"
арих̌ц,"чваниться, пыжиться, задирать нос, зазнаваться"
аррих̌ц,"чваниться, пыжиться, задирать нос, зазнаваться"
бириц,перестать питаться материнским молоком; бросить сосать (грудь)
биwец,"опухать, распухать; вздуваться, раздуваться, пучить"
биɣ̌ец,"опухать, распухать; вздуваться, раздуваться, пучить"
биwец,"дуться, обижаться"
биɣ̌ец,"дуться, обижаться"
виwӣц,"отказываться от еды, переставать есть"
вирих̌ц,"ломаться, разбиваться; раскалываться"
wижӣвӡ,возвращаться; поворачивать назад
wизиц,"гаснуть, угасать, потухать"
wирӣвȥ,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wирӣвȥ,отставать (напр. в развитии); ослабевать; отцветать
wирӣwӡ,расплетаться; распарываться
дангч,дрожать (от холода)
данкч,дрожать (от холода)
дақч,идти рысью (о лошади)
